HULL CITY,BURNLEY,9 May 2015,36,24877,0 - 1,D,L,D,L,W,L,L,D,D,L,S. Harper,M. Dawson,P. McShane,J. Chester,S. Quinn,T. Huddlestone,S. Aluko,Ahmed El Mohamady,J. Livermore,R. Brady,D. N'Doye,S. Bruce,T. Heaton,J. Shackell,M. Duff,K. Trippier,B. Mee,M. Taylor,D. Jones,S. Arfield,G. Boyd,A. Barnes,D. Ings,S. Dyche
ASTON VILLA,WEST HAM UNITED,9 May 2015,36,39294,1 - 0,L,D,W,L,D,W,D,W,L,L,S. Given,R. Vlaar,K. Richardson,J. Okore,C. N'Zogbia,F. Delph,A. Westwood,T. Cleverley,L. Bacuna,J. Grealish,C. Benteke,T. Sherwood,Adrián,J. Collins,A. Cresswell,C. Jenkinson,R. Burke,S. Downing,M. Amalfitano,K. Nolan,M. Noble,C. Kouyaté,E. Valencia,S. Allardyce
CRYSTAL PALACE,MANCHESTER UNITED,9 May 2015,36,25009,1 - 2,W,W,W,D,W,L,W,D,L,W,J. Speroni,D. Delaney,S. Dann,J. Ward,P. Souaré,M. Jedinak,J. Ledley,J. McArthur,G. Murray,Y. Bolasie,W. Zaha,A. Pardew,David de Gea,A. Valencia,A. Young,D. Blind,C. Smalling,P. Jones,L. Shaw,M. Fellaini,Mata,Ander Herrera,W. Rooney,L. van Gaal
MANCHESTER CITY,QUEENS PARK RANGERS,10 May 2015,36,44564,6 - 0,W,W,D,W,W,L,W,L,L,W,J. Hart,M. Demichelis,P. Zabaleta,A. Kolarov,E. Mangala,F. Lampard,J. Milner,David Silva,Fernandinho,Fernando,S. Agüero,M. Pellegrini,R. Green,R. Dunne,C. Hill,Yun Suk-Young,S. Caulker,J. Barton,K. Henry,L. Fer,M. Phillips,B. Zamora,C. Austin,C. Ramsey
CHELSEA,LIVERPOOL,10 May 2015,36,41547,1 - 1,W,L,D,W,W,L,W,L,L,D,T. Courtois,J. Terry,Filipe Luis,B. Ivanović,K. Zouma,Fàbregas,J. Obi Mikel,R. Loftus-Cheek,L. Rémy,Willian,E. Hazard,José Mourinho,S. Mignolet,G. Johnson,M. Škrtel,D. Lovren,S. Gerrard,A. Lallana,J. Henderson,Philippe Coutinho,E. Can,R. Lambert,R. Sterling,B. Rodgers
ARSENAL,SWANSEA CITY,12 May 2015,36,59989,0 - 1,W,L,W,L,L,L,L,L,L,L,D. Ospina,P. Mertesacker,Nacho Monreal,L. Koscielny,Bellerín,M. Özil,Santi Cazorla,F. Coquelin,A. Ramsey,A. Sánchez,O. Giroud,A. Wenger,Ł. Fabiański,N. Taylor,A. Williams,Àngel Rangel,F. Fernández,N. Dyer,J. Cork,Ki Sung-Yeung,J. Shelvey,G. Sigurðsson,J. Montero,G. Monk
SOUTHAMPTON,ASTON VILLA,16 May 2015,37,31636,6 - 1,L,W,D,W,L,L,D,W,L,D,P. Gazzaniga,José Fonte,R. Bertrand,N. Clyne,T. Alderweireld,S. Davis,V. Wanyama,J. Ward-Prowse,S. Long,G. Pellè,S. Mané,R. Koeman,S. Given,A. Hutton,R. Vlaar,J. Okore,C. N'Zogbia,F. Delph,A. Westwood,T. Cleverley,L. Bacuna,J. Grealish,C. Benteke,T. Sherwood
WEST HAM UNITED,BURNLEY,2 May 2015,35,34946,1 - 0,W,D,W,L,L,L,L,D,D,L,Adrián,J. Collins,A. Cresswell,C. Jenkinson,R. Burke,S. Downing,M. Amalfitano,K. Nolan,M. Noble,C. Kouyaté,E. Valencia,S. Allardyce,T. Heaton,J. Shackell,M. Duff,K. Trippier,B. Mee,M. Taylor,D. Jones,S. Arfield,G. Boyd,A. Barnes,D. Ings,S. Dyche
SWANSEA CITY,STOKE CITY,2 May 2015,35,20661,2 - 0,L,L,L,L,L,W,L,D,D,D,Ł. Fabiański,N. Taylor,A. Williams,Àngel Rangel,F. Fernández,N. Dyer,J. Cork,J. Shelvey,G. Sigurðsson,J. Montero,Nélson Oliveira,G. Monk,J. Butland,E. Pieters,P. Bardsley,R. Shawcross,M. Wilson,C. Adam,G. Whelan,S. N'Zonzi,J. Walters,M. Arnautović,M. Diouf,M. Hughes
SUNDERLAND,SOUTHAMPTON,2 May 2015,35,39613,2 - 1,W,L,L,D,D,L,W,D,W,L,C. Pantilimon,J. O'Shea,B. Jones,S. Coates,P. van Aanholt,L. Cattermole,Jordi Gómez,S. Larsson,J. Defoe,D. Graham,C. Wickham,D. Advocaat,K. Davis,M. Yoshida,José Fonte,R. Bertrand,N. Clyne,T. Alderweireld,V. Wanyama,J. Ward-Prowse,S. Long,G. Pellè,S. Mané,R. Koeman
LIVERPOOL,QUEENS PARK RANGERS,2 May 2015,35,44707,2 - 1,L,W,L,L,D,L,W,L,L,W,S. Mignolet,G. Johnson,M. Škrtel,D. Lovren,S. Gerrard,A. Lallana,J. Henderson,Philippe Coutinho,E. Can,R. Lambert,R. Sterling,B. Rodgers,R. Green,N. Onuoha,R. Dunne,C. Hill,S. Caulker,J. Barton,K. Henry,L. Fer,M. Phillips,Sandro,C. Austin,C. Ramsey
ASTON VILLA,EVERTON,2 May 2015,35,37859,3 - 2,L,D,W,L,D,L,D,W,W,D,S. Given,R. Vlaar,K. Richardson,J. Okore,C. N'Zogbia,F. Delph,A. Westwood,T. Cleverley,L. Bacuna,J. Grealish,C. Benteke,T. Sherwood,T. Howard,P. Jagielka,L. Baines,S. Coleman,J. Stones,A. Lennon,G. Barry,J. McCarthy,S. Naismith,K. Mirallas,R. Lukaku,Roberto Martínez
MANCHESTER UNITED,WEST BROMWICH ALBION,2 May 2015,35,75454,0 - 1,L,W,D,L,W,L,W,W,D,W,David de Gea,A. Valencia,A. Young,D. Blind,C. Smalling,M. Fellaini,Mata,Ander Herrera,P. McNair,R. van Persie,W. Rooney,L. van Gaal,G. Myhill,J. Olsson,J. Lescott,G. McAuley,C. Dawson,C. Gardner,D. Fletcher,Y. Mulumbu,C. Yacob,C. Brunt,S. Berahino,T. Pulis
CHELSEA,CRYSTAL PALACE,3 May 2015,35,41566,1 - 0,W,L,D,W,W,W,W,W,D,W,T. Courtois,J. Terry,G. Cahill,B. Ivanović,Azpilicueta,Fàbregas,N. Matić,Juan Cuadrado,D. Drogba,Willian,E. Hazard,José Mourinho,J. Speroni,A. Mariappa,D. Delaney,S. Dann,J. Ward,J. Mutch,J. Ledley,J. Puncheon,J. McArthur,Y. Bolasie,W. Zaha,A. Pardew
TOTTENHAM HOTSPUR,MANCHESTER CITY,3 May 2015,35,35784,0 - 1,W,W,L,W,L,W,W,D,W,W,H. Lloris,J. Vertonghen,D. Rose,F. Fazio,N. Chadli,R. Mason,E. Lamela,C. Eriksen,N. Bentaleb,E. Dier,H. Kane,M. Pochettino,J. Hart,M. Demichelis,P. Zabaleta,A. Kolarov,E. Mangala,F. Lampard,J. Milner,David Silva,Fernandinho,Fernando,S. Agüero,M. Pellegrini
HULL CITY,ARSENAL,5 May 2015,35,23628,1 - 3,D,L,D,L,W,W,L,W,L,L,S. Harper,M. Dawson,P. McShane,J. Chester,S. Quinn,T. Huddlestone,S. Aluko,Ahmed El Mohamady,J. Livermore,R. Brady,D. N'Doye,S. Bruce,D. Ospina,P. Mertesacker,Nacho Monreal,L. Koscielny,Bellerín,M. Özil,Santi Cazorla,F. Coquelin,A. Ramsey,A. Sánchez,O. Giroud,A. Wenger
EVERTON,SUNDERLAND,9 May 2015,36,38246,0 - 2,L,D,W,W,D,W,L,L,D,D,T. Howard,P. Jagielka,L. Baines,S. Coleman,J. Stones,A. Lennon,G. Barry,L. Osman,J. McCarthy,R. Barkley,R. Lukaku,Roberto Martínez,C. Pantilimon,W. Brown,B. Jones,S. Coates,P. van Aanholt,L. Cattermole,Jordi Gómez,S. Larsson,J. Defoe,D. Graham,C. Wickham,D. Advocaat
QUEENS PARK RANGERS,WEST HAM UNITED,25 April 2015,34,18036,0 - 0,L,W,L,L,W,W,D,W,L,L,R. Green,N. Onuoha,R. Dunne,C. Hill,S. Caulker,J. Barton,K. Henry,M. Phillips,Sandro,B. Zamora,C. Austin,C. Ramsey,Adrián,J. Collins,A. Cresswell,C. Jenkinson,R. Burke,S. Downing,K. Nolan,M. Noble,M. Jarvis,C. Kouyaté,E. Valencia,S. Allardyce
